geoip;currency;customer_id;customer_gender;customer_phone;customer_name;customer_email
{'country_iso_code': 'FR', 'city_name': 'LA LECHERE', 'zip_code': '73260', 'location': {'lon': '45.5274218608', 'lat': '6.46078348062'}};EUR;37744;M;03 89 67 99 45;Christophe Le Gall;gall49@noos.fr
{'country_iso_code': 'FR', 'city_name': 'MONTHOU SUR BIEVRE', 'zip_code': '41120', 'location': {'lon': '47.4622240218', 'lat': '1.27087030683'}};EUR;72990;M;0534222733;Alain Dijoux;dijoux93@tele2.fr
{'country_iso_code': 'FR', 'city_name': 'BAVELINCOURT', 'zip_code': '80260', 'location': {'lon': '50.00064508', 'lat': '2.44958045984'}};EUR;61033;M;04 56 69 59 09;Gilles Carlier;carlier76@hotmail.fr
{'country_iso_code': 'FR', 'city_name': 'LA LONGINE', 'zip_code': '70310', 'location': {'lon': '47.8992130151', 'lat': '6.57732666046'}};EUR;97734;M;+33 (0)4 20 90 71 15;Marcel Guillon;guillon74@wanadoo.fr
{'country_iso_code': 'FR', 'city_name': 'BREUILLET', 'zip_code': '91650', 'location': {'lon': '48.5718215115', 'lat': '2.16598389799'}};EUR;39602;M;+33 3 81 01 38 68;Arthur Aubert;aubert62@voila.fr
{'country_iso_code': 'FR', 'city_name': 'PONTRU', 'zip_code': '02490', 'location': {'lon': '49.921599489', 'lat': '3.20120191987'}};EUR;74464;M;+33 (0)3 61 16 94 91;Émile Thomas;thomas45@free.fr
{'country_iso_code': 'FR', 'city_name': 'ALLEMANS', 'zip_code': '24600', 'location': {'lon': '45.288412571', 'lat': '0.305272710344'}};EUR;78364;M;03 28 64 92 56;Jean-Yves Marty;marty43@gmail.com
{'country_iso_code': 'FR', 'city_name': 'CAUDROT', 'zip_code': '33490', 'location': {'lon': '44.5846738826', 'lat': '-0.144878442229'}};EUR;76926;M;04 30 82 47 10;Augustin Grenier;grenier63@dbmail.com
{'country_iso_code': 'FR', 'city_name': 'GAJA LA SELVE', 'zip_code': '11270', 'location': {'lon': '43.2002672406', 'lat': '1.88364731098'}};EUR;40837;M;04 88 83 80 34;Zacharie Martineau;martineau88@bouygtel.fr
{'country_iso_code': 'FR', 'city_name': 'ST VINCENT DU LOROUER', 'zip_code': '72150', 'location': {'lon': '47.8210184227', 'lat': '0.480742705963'}};EUR;76923;M;+33 (0)4 92 66 03 22;Martin du Paul;paul80@voila.fr
{'country_iso_code': 'FR', 'city_name': 'MOUSSAC', 'zip_code': '30190', 'location': {'lon': '43.9775652657', 'lat': '4.23531660629'}};EUR;71969;M;0325124850;Théodore Pages de Arnaud;arnaud72@tele2.fr
{'country_iso_code': 'FR', 'city_name': 'ST URCISSE', 'zip_code': '47270', 'location': {'lon': '44.1644001524', 'lat': '0.826832844696'}};EUR;34480;M;0329416825;Louis Michel;michel17@gmail.com
{'country_iso_code': 'FR', 'city_name': 'BUTOT VENESVILLE', 'zip_code': '76450', 'location': {'lon': '49.8159183889', 'lat': '0.58596239014'}};EUR;73475;M;01 56 73 80 76;François de la Giraud;giraud81@live.com
{'country_iso_code': 'FR', 'city_name': 'ARNAC LA POSTE', 'zip_code': '87160', 'location': {'lon': '46.2639834442', 'lat': '1.37338277352'}};EUR;50550;M;+33 (0)3 21 44 13 73;Guy Thibault;thibault70@tiscali.fr
{'country_iso_code': 'FR', 'city_name': 'ST ANTOINE L ABBAYE', 'zip_code': '38160', 'location': {'lon': '45.1722353559', 'lat': '5.21609050981'}};EUR;41411;M;0323260999;Rémy Bonnet;bonnet20@orange.fr
{'country_iso_code': 'FR', 'city_name': 'CASTINETA', 'zip_code': '20218', 'location': {'lon': '42.4281629327', 'lat': '9.27331954769'}};EUR;93951;M;04 43 45 88 29;Augustin Dupont;dupont91@dbmail.com
{'country_iso_code': 'FR', 'city_name': 'PEILLE', 'zip_code': '06440', 'location': {'lon': '43.8064648293', 'lat': '7.41111016741'}};EUR;48873;M;0345124862;Thomas Renault;renault38@laposte.net
{'country_iso_code': 'FR', 'city_name': 'ST URCISSE', 'zip_code': '47270', 'location': {'lon': '44.1644001524', 'lat': '0.826832844696'}};EUR;88377;M;+33 (0)5 34 71 49 64;Yves Daniel;daniel23@orange.fr
{'country_iso_code': 'FR', 'city_name': 'RIEUX VOLVESTRE', 'zip_code': '31310', 'location': {'lon': '43.2555733864', 'lat': '1.20637769393'}};EUR;90362;M;02 78 43 73 11;Gilbert Royer;royer95@voila.fr
{'country_iso_code': 'FR', 'city_name': 'TERRE DE BANCALIE', 'zip_code': '81120', 'location': {'lon': '43.8091924031', 'lat': '2.26353154386'}};EUR;77466;M;0328523851;Jules de la Humbert;humbert84@bouygtel.fr
{'country_iso_code': 'FR', 'city_name': 'LANOBRE', 'zip_code': '15270', 'location': {'lon': '45.4344225439', 'lat': '2.54974390079'}};EUR;61966;M;+33 (0)3 79 79 50 06;Denis Marie;marie20@sfr.fr
{'country_iso_code': 'FR', 'city_name': 'VRAIGNES EN VERMANDOIS', 'zip_code': '80240', 'location': {'lon': '49.8862393392', 'lat': '3.06728625058'}};EUR;26676;M;02 55 90 58 34;Arthur Pierre;pierre98@live.com
{'country_iso_code': 'FR', 'city_name': 'ETERNOZ', 'zip_code': '25330', 'location': {'lon': '47.0155751982', 'lat': '6.00196889347'}};EUR;23212;M;0244652485;Yves de Klein;klein63@club-internet.fr
{'country_iso_code': 'FR', 'city_name': 'SAZILLY', 'zip_code': '37220', 'location': {'lon': '47.1257115061', 'lat': '0.349907855669'}};EUR;31018;M;+33 (0)5 87 51 86 64;Paul du Gonzalez;gonzalez43@hotmail.fr
{'country_iso_code': 'FR', 'city_name': 'GOUSSAINVILLE', 'zip_code': '28410', 'location': {'lon': '48.7829804111', 'lat': '1.56001143121'}};EUR;70832;M;+33 (0)5 8  46 62 84;Stéphane Gautier;gautier36@hotmail.fr
{'country_iso_code': 'FR', 'city_name': 'SEILLANS', 'zip_code': '83440', 'location': {'lon': '43.6466457482', 'lat': '6.61301408536'}};EUR;85456;M;+33 4 79 28 63 75;Henri de Faure;faure93@hotmail.fr
{'country_iso_code': 'FR', 'city_name': 'ARRONNES', 'zip_code': '03250', 'location': {'lon': '46.0520854633', 'lat': '3.57527535836'}};EUR;59601;M;+33 (0)3 54 46 05 26;Michel Giraud;giraud89@hotmail.fr
{'country_iso_code': 'FR', 'city_name': 'KAYSERSBERG VIGNOBLE', 'zip_code': '68240', 'location': {'lon': '48.1550192582', 'lat': '7.23808768656'}};EUR;48779;M;03 57 43 86 47;Vincent Merle;merle23@hotmail.fr
{'country_iso_code': 'FR', 'city_name': 'CHEVERNY', 'zip_code': '41700', 'location': {'lon': '47.4773814435', 'lat': '1.45430435221'}};EUR;95346;M;04 42 56 21 02;Patrick Bailly;bailly35@tele2.fr
{'country_iso_code': 'FR', 'city_name': 'ST SAUVEUR DE GINESTOUX', 'zip_code': '48170', 'location': {'lon': '44.7018049753', 'lat': '3.61535812137'}};EUR;81522;M;+33 3 90 69 70 91;Martin-Adrien Denis;denis75@ifrance.com
{'country_iso_code': 'FR', 'city_name': 'DENTING', 'zip_code': '57220', 'location': {'lon': '49.1838468541', 'lat': '6.54223138177'}};EUR;26971;M;04 26 24 02 87;Jean Georges;georges86@tele2.fr
{'country_iso_code': 'FR', 'city_name': 'VIDAI', 'zip_code': '61360', 'location': {'lon': '48.4602912292', 'lat': '0.376581458211'}};EUR;45613;M;0468113411;Thomas Monnier-Barthelemy;monnier-barthelemy66@laposte.net
{'country_iso_code': 'FR', 'city_name': 'DOUARNENEZ', 'zip_code': '29100', 'location': {'lon': '48.0806526556', 'lat': '-4.32784220122'}};EUR;84848;M;0245362628;Pierre Roy;roy34@free.fr
{'country_iso_code': 'FR', 'city_name': 'BAZINCOURT SUR SAULX', 'zip_code': '55170', 'location': {'lon': '48.687294106', 'lat': '5.14014455856'}};EUR;73244;M;0299632049;Benoît Marin;marin41@free.fr
{'country_iso_code': 'FR', 'city_name': 'ST PAUL', 'zip_code': '87260', 'location': {'lon': '45.7524342928', 'lat': '1.44281385346'}};EUR;80602;M;+33 3 66 46 89 98;Nicolas Jourdan;jourdan55@tele2.fr
{'country_iso_code': 'FR', 'city_name': 'THAL MARMOUTIER', 'zip_code': '67440', 'location': {'lon': '48.6960773859', 'lat': '7.34056735881'}};EUR;46956;M;05 32 88 25 22;René Georges;georges63@hotmail.fr
{'country_iso_code': 'FR', 'city_name': 'LUSSAULT SUR LOIRE', 'zip_code': '37400', 'location': {'lon': '47.3899998844', 'lat': '0.920355361305'}};EUR;19448;M;03 24 91 64 76;Raymond Carre;carre63@free.fr
{'country_iso_code': 'FR', 'city_name': 'GINOUILLAC', 'zip_code': '46300', 'location': {'lon': '44.726806862', 'lat': '1.53672996864'}};EUR;37212;M;0768846434;Antoine Charpentier-Roussel;charpentier-roussel16@noos.fr
{'country_iso_code': 'FR', 'city_name': 'LA TRINITE DU MONT', 'zip_code': '76170', 'location': {'lon': '49.5455789044', 'lat': '0.557898876882'}};EUR;84103;M;03 23 81 82 46;Alain Gillet;gillet66@yahoo.fr
{'country_iso_code': 'FR', 'city_name': 'MARVILLE', 'zip_code': '55600', 'location': {'lon': '49.4465296289', 'lat': '5.44770167137'}};EUR;68255;M;+33 2 96 13 70 80;Laurent Diallo du Nicolas;nicolas51@orange.fr
{'country_iso_code': 'FR', 'city_name': 'ST LEGER LES VIGNES', 'zip_code': '44710', 'location': {'lon': '47.1429694401', 'lat': '-1.7140364404'}};EUR;46031;M;+33 (0)3 56 82 28 47;Gérard du Rossi;rossi22@laposte.net
{'country_iso_code': 'FR', 'city_name': 'BEAUREPAIRE', 'zip_code': '85500', 'location': {'lon': '46.9050210355', 'lat': '-1.10144867013'}};EUR;51455;M;0540176981;Michel-Étienne Pelletier;pelletier16@yahoo.fr
{'country_iso_code': 'FR', 'city_name': 'LE GRAU DU ROI', 'zip_code': '30240', 'location': {'lon': '43.5072810882', 'lat': '4.16622948662'}};EUR;55432;M;05 90 55 99 00;Eugène de Rivière;riviere14@laposte.net
{'country_iso_code': 'FR', 'city_name': 'BOURNAND', 'zip_code': '86120', 'location': {'lon': '47.0744670977', 'lat': '0.075217763683'}};EUR;90970;M;+33 (0)3 56 40 63 91;Vincent Bonnin de Blanchet;blanchet31@live.com
{'country_iso_code': 'FR', 'city_name': 'RIVES DERVOISES', 'zip_code': '52220', 'location': {'lon': '48.489304653', 'lat': '4.6870081083'}};EUR;99002;M;+33 (0)1 48 64 91 43;Yves-William Pasquier;pasquier17@ifrance.com
{'country_iso_code': 'FR', 'city_name': 'SAILLY EN OSTREVENT', 'zip_code': '62490', 'location': {'lon': '50.2875880806', 'lat': '2.99003702164'}};EUR;89780;M;+33 5 40 57 95 16;Laurent Muller;muller46@tiscali.fr
{'country_iso_code': 'FR', 'city_name': 'VARREDDES', 'zip_code': '77910', 'location': {'lon': '49.0058198768', 'lat': '2.92807790082'}};EUR;89314;M;+33 5 34 11 09 84;Michel-Timothée Schmitt;schmitt23@laposte.net
{'country_iso_code': 'FR', 'city_name': 'ST MARTIN DE FONTENAY', 'zip_code': '14320', 'location': {'lon': '49.1146147135', 'lat': '-0.351793766031'}};EUR;85744;M;+33 (0)2 99 79 66 17;William Klein;klein50@free.fr
{'country_iso_code': 'FR', 'city_name': 'SENTHEIM', 'zip_code': '68780', 'location': {'lon': '47.7544037886', 'lat': '7.05013965143'}};EUR;98240;M;+33 1 60 89 66 83;Roland Camus;camus27@noos.fr
{'country_iso_code': 'FR', 'city_name': 'ST LARY SOULAN', 'zip_code': '65170', 'location': {'lon': '42.7591645461', 'lat': '0.28622709133'}};EUR;63239;M;+33 3 70 54 12 46;Thomas Bazin;bazin17@noos.fr
{'country_iso_code': 'FR', 'city_name': 'POULIGNY ST PIERRE', 'zip_code': '36300', 'location': {'lon': '46.684081947', 'lat': '1.04652871345'}};EUR;85806;M;+33 1 83 03 03 89;Maurice Royer-Colas;royer-colas68@tele2.fr
{'country_iso_code': 'FR', 'city_name': 'BUSSY EN OTHE', 'zip_code': '89400', 'location': {'lon': '48.0413773601', 'lat': '3.50603239143'}};EUR;55959;M;+33 (0)4 74 64 20 44;David Nicolas-Goncalves;nicolas-goncalves39@noos.fr
{'country_iso_code': 'FR', 'city_name': 'SIEST', 'zip_code': '40180', 'location': {'lon': '43.650022681', 'lat': '-1.13330295872'}};EUR;85248;M;0299634972;Bertrand-Jacques David;david87@yahoo.fr
{'country_iso_code': 'FR', 'city_name': 'UZA', 'zip_code': '40170', 'location': {'lon': '44.0334990797', 'lat': '-1.19626378992'}};EUR;48231;M;+33 2 35 98 80 47;Alfred Alexandre-Auger;alexandre-auger65@voila.fr
{'country_iso_code': 'FR', 'city_name': 'MALRAS', 'zip_code': '11300', 'location': {'lon': '43.0609311842', 'lat': '2.16809253539'}};EUR;58560;M;03 87 91 73 43;Thierry De Oliveira de Lombard;lombard10@laposte.net
{'country_iso_code': 'FR', 'city_name': 'STE CHRISTINE', 'zip_code': '63390', 'location': {'lon': '46.0723087961', 'lat': '2.83140486418'}};EUR;88597;M;+33 3 84 93 64 70;Lucas de Leconte;leconte94@tiscali.fr
{'country_iso_code': 'FR', 'city_name': 'ST PIERRE AIGLE', 'zip_code': '02600', 'location': {'lon': '49.3121621719', 'lat': '3.19602649155'}};EUR;60064;M;+33 (0)5 32 74 16 62;Michel Caron-Delaunay;caron-delaunay16@gmail.com
{'country_iso_code': 'FR', 'city_name': 'MARSILLY', 'zip_code': '57530', 'location': {'lon': '49.0954334009', 'lat': '6.3072836454'}};EUR;14709;M;+33 (0)5 16 67 64 60;André de la Boutin;boutin22@dbmail.com
{'country_iso_code': 'FR', 'city_name': 'PLAINE D ARGENSON', 'zip_code': '79360', 'location': {'lon': '46.1506834964', 'lat': '-0.48413782937'}};EUR;11572;M;+33 4 15 61 92 40;Roland-Adrien Brunet;brunet88@voila.fr
{'country_iso_code': 'FR', 'city_name': 'VILLEDUBERT', 'zip_code': '11800', 'location': {'lon': '43.2318046897', 'lat': '2.41699108756'}};EUR;63486;M;+33 2 78 45 31 86;Xavier Paul;paul45@club-internet.fr
{'country_iso_code': 'FR', 'city_name': 'FREYMING MERLEBACH', 'zip_code': '57800', 'location': {'lon': '49.1525756195', 'lat': '6.79731056431'}};EUR;50339;M;+33 5 57 47 65 84;Léon Bonneau;bonneau97@yahoo.fr
{'country_iso_code': 'FR', 'city_name': 'ST DENIS LES REBAIS', 'zip_code': '77510', 'location': {'lon': '48.845087486', 'lat': '3.19932466379'}};EUR;77718;M;+33 (0)3 28 98 67 95;Adrien Merle;merle27@bouygtel.fr
{'country_iso_code': 'FR', 'city_name': 'TREIS SANTS EN OUCHE', 'zip_code': '27300', 'location': {'lon': '49.0593510154', 'lat': '0.611660740223'}};EUR;58771;M;04 65 56 29 74;Étienne Michel de Pichon;pichon51@live.com
{'country_iso_code': 'FR', 'city_name': 'SALLAUMINES', 'zip_code': '62430', 'location': {'lon': '50.4204336349', 'lat': '2.85999934529'}};EUR;77170;M;+33 3 22 68 18 17;Raymond Morin;morin73@live.com
{'country_iso_code': 'FR', 'city_name': 'PROUZEL', 'zip_code': '80160', 'location': {'lon': '49.814090508', 'lat': '2.18958769704'}};EUR;92547;M;+33 (0)2 33 83 44 95;Alain Brunel;brunel43@hotmail.fr
{'country_iso_code': 'FR', 'city_name': 'BRETEUIL', 'zip_code': '27160', 'location': {'lon': '48.8525387012', 'lat': '0.899890466074'}};EUR;15252;M;0358846416;Vincent Jean;jean21@noos.fr
{'country_iso_code': 'FR', 'city_name': 'ST RAMBERT EN BUGEY', 'zip_code': '01230', 'location': {'lon': '45.9504631708', 'lat': '5.44017084612'}};EUR;49382;M;+33 5 16 05 42 42;Eugène Goncalves;goncalves76@voila.fr
{'country_iso_code': 'FR', 'city_name': 'ARBERATS SILLEGUE', 'zip_code': '64120', 'location': {'lon': '43.340809615', 'lat': '-0.991760283648'}};EUR;55864;M;01 81 85 06 75;Benjamin Duhamel;duhamel85@wanadoo.fr
{'country_iso_code': 'FR', 'city_name': 'BEULOTTE ST LAURENT', 'zip_code': '70310', 'location': {'lon': '47.8688160594', 'lat': '6.67305784472'}};EUR;65783;M;0430857521;Hugues Briand de Thomas;thomas53@orange.fr
{'country_iso_code': 'FR', 'city_name': 'REIGNAT', 'zip_code': '63160', 'location': {'lon': '45.7487299142', 'lat': '3.35567413071'}};EUR;36230;M;0386240591;Isaac Le Dijoux;dijoux10@bouygtel.fr
{'country_iso_code': 'FR', 'city_name': 'AUMALE', 'zip_code': '76390', 'location': {'lon': '49.7693741515', 'lat': '1.7549467172'}};EUR;22454;M;+33 (0)4 49 01 64 36;Gilles de la Pons;pons64@free.fr
{'country_iso_code': 'FR', 'city_name': 'VILLY BOCAGE', 'zip_code': '14310', 'location': {'lon': '49.1039219543', 'lat': '-0.641975562637'}};EUR;84651;M;0156429482;Lucas Baudry;baudry77@voila.fr
{'country_iso_code': 'FR', 'city_name': 'ISSANCOURT ET RUMEL', 'zip_code': '08440', 'location': {'lon': '49.756913062', 'lat': '4.82778351995'}};EUR;33644;M;+33 (0)3 25 08 91 95;Maurice Caron;caron75@tele2.fr
{'country_iso_code': 'FR', 'city_name': 'SCHIRRHOFFEN', 'zip_code': '67240', 'location': {'lon': '48.8069986345', 'lat': '7.92537675508'}};EUR;35765;M;+33 (0)1 34 04 95 32;Timothée Gay;gay88@laposte.net
{'country_iso_code': 'FR', 'city_name': 'LAUREDE', 'zip_code': '40250', 'location': {'lon': '43.7562133962', 'lat': '-0.789651425061'}};EUR;95159;M;+33 (0)5 57 46 88 32;François Guibert du Girard;girard75@orange.fr
{'country_iso_code': 'FR', 'city_name': 'BLENOD LES PONT A MOUSSON', 'zip_code': '54700', 'location': {'lon': '48.8752634053', 'lat': '6.0622081682'}};EUR;61441;M;01 70 12 27 51;William Gosselin;gosselin86@ifrance.com
{'country_iso_code': 'FR', 'city_name': 'MARQUION', 'zip_code': '62860', 'location': {'lon': '50.2041974457', 'lat': '3.09602784111'}};EUR;31716;M;04 77 96 56 09;Léon Meunier-Reynaud;meunier-reynaud49@orange.fr
{'country_iso_code': 'FR', 'city_name': 'VALBOIS', 'zip_code': '55300', 'location': {'lon': '48.9287959752', 'lat': '5.61607345803'}};EUR;39235;M;0489089274;Isaac Carre;carre64@orange.fr
{'country_iso_code': 'FR', 'city_name': 'ARCON', 'zip_code': '25300', 'location': {'lon': '46.9658473885', 'lat': '6.37870197364'}};EUR;37632;M;+33 (0)5 19 59 50 32;Luc Clément;clement49@tiscali.fr
{'country_iso_code': 'FR', 'city_name': 'ST FRAIGNE', 'zip_code': '16140', 'location': {'lon': '45.9572719379', 'lat': '-0.0153853235153'}};EUR;29838;M;0232116916;Marc de la Aubry;aubry89@bouygtel.fr
{'country_iso_code': 'FR', 'city_name': 'BRESSOLLES', 'zip_code': '01360', 'location': {'lon': '45.869423064', 'lat': '5.1009428902'}};EUR;74515;M;0299830605;Michel Olivier;olivier43@live.com
{'country_iso_code': 'FR', 'city_name': 'MESLAY', 'zip_code': '41100', 'location': {'lon': '47.8158272648', 'lat': '1.11151070429'}};EUR;60533;M;+33 (0)4 93 37 09 53;Étienne Pelletier Le Daniel;daniel32@gmail.com
{'country_iso_code': 'FR', 'city_name': 'BERGUES SUR SAMBRE', 'zip_code': '02450', 'location': {'lon': '50.0294686238', 'lat': '3.711371001'}};EUR;26509;M;+33 3 83 58 76 75;Pierre du Descamps;descamps97@tiscali.fr
{'country_iso_code': 'FR', 'city_name': 'NOTRE DAME DU BEC', 'zip_code': '76133', 'location': {'lon': '49.5940970105', 'lat': '0.220671050793'}};EUR;54017;M;+33 5 56 49 43 81;Noël-Maurice Marin;marin73@wanadoo.fr
{'country_iso_code': 'FR', 'city_name': 'PRENDEIGNES', 'zip_code': '46270', 'location': {'lon': '44.6977109541', 'lat': '2.07671859473'}};EUR;25568;M;04 32 32 77 71;Alfred David;david20@gmail.com
{'country_iso_code': 'FR', 'city_name': 'LUTTANGE', 'zip_code': '57935', 'location': {'lon': '49.273930831', 'lat': '6.29636780272'}};EUR;58036;M;0373174367;André Le Da Costa;costa24@yahoo.fr
